Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Plasma_PS.raw (F1),PDH_Blank_Neg.raw (F2),PDH_Blank_Pos_171003103943.raw (F3),Plasma_Neg_1.raw (F4),Plasma_Neg_2.raw (F5),Plasma_Neg_3.raw (F6),Plasma_Pos_1.raw (F7),Plasma_Pos_2.raw (F8),Plasma_Pos_3.raw (F9),
1.371,736.33344,-,26316.32848,,,4,,26316.32848,206.8286903,0.0,17948.00489,18909.6155,25260.75437,0.0,0.0,0.0,
1.375,1037.65137,+,22779.06658,,,2,Adduct of existing peak,22779.06658,0.0,650.225374,0.0,0.0,0.0,9655.236754,8180.943967,11980.28899,
1.387,542.32037,+,237633.9363,,,4,Adduct of existing peak,237633.9363,0.0,4761.095631,0.0,0.0,0.0,172244.6579,171502.5976,174775.3968,
1.387,602.32855,+,87700.53027,,,4,Adduct of existing peak,87700.53027,0.0,809.8362116,0.0,0.0,0.0,68156.63747,73235.41181,73982.52431,
1.388,618.30597,+,89480.14477,,,4,,89480.14477,0.0,856.8859629,0.0,0.0,0.0,69462.38638,76903.31582,75361.28413,
1.394,502.32666,+,18196.2892,,,2,Adduct of existing peak,7258.547154,0.0,984.6443052,0.0,0.0,0.0,16790.81766,18196.2892,17167.16723,
1.397,520.33844,+,4625684.668,LysoPC 18:2,LysoPC,6,,4625684.668,0.0,58542.00914,0.0,0.0,0.0,2967960.841,2989460.179,3408097.73,
1.401,496.3385,+,3.55566454E7,LysoPC 16:0,LysoPC,4,,2.562162434E7,0.0,92158.98305,0.0,0.0,0.0,2.124232442E7,1.966451929E7,3.55566454E7,
1.462,901.5285,-,33932.88537,,,2,,3392.53367,5591.71815,0.0,30747.29699,33932.88537,23308.836,0.0,0.0,0.0,
1.484,313.07776,-,32493.27612,,,2,,32493.27612,293.156685,0.0,785.9432173,3000.175132,23117.71898,0.0,0.0,0.0,
1.509,525.40887,+,81475.05503,,,2,,81475.05503,0.0,18610.1262,0.0,0.0,0.0,45708.25908,40861.663,18481.69847,
1.519,657.48853,+,26845.49207,,,2,,24924.39516,0.0,6480.446266,0.0,0.0,0.0,15686.18361,26845.49207,19389.34197,
1.53,484.3833,+,771898.8632,,,5,,771898.8632,0.0,242361.7196,0.0,0.0,0.0,359246.6985,322173.039,338989.0499,
1.54,555.284,-,39133.45683,,,3,,16567.14975,7521.525434,0.0,31251.85379,37374.20826,39133.45683,0.0,0.0,0.0,
1.543,541.26892,-,17742.54441,,,3,,6612.051354,589.6441998,0.0,17742.54441,16679.89765,14882.9065,0.0,0.0,0.0,
1.547,473.28085,-,3914324.373,,,8,,2681520.371,992022.7041,346995.681,3649899.089,3780712.372,3914324.373,398049.0049,216705.2686,389818.7654,
1.567,502.29239,-,22825.43676,LysoPE 20:3,LysoPE,3,,12858.72929,394.2296061,0.0,21872.83643,22825.43676,19310.06569,0.0,0.0,0.0,
1.569,599.31842,-,58145.66456,LysoPI 18:0,LysoPI,4,,38170.52794,287.3966822,0.0,37966.1347,45967.15415,58145.66456,0.0,0.0,0.0,
1.573,838.56995,+,2224241.579,,,3,,2224241.579,0.0,28128.90295,0.0,0.0,0.0,1058331.072,23962.6584,903665.4707,
1.592,530.32373,-,32243.24307,,,4,Adduct of existing peak,32243.24307,355.1850069,0.0,26970.3333,28983.99554,28177.36654,0.0,0.0,0.0,
1.593,604.36047,-,184630.2837,LysoPC 20:3,LysoPC,4,Redundant Identification,169130.2365,3115.612519,0.0,184630.2837,156480.2081,165096.1197,0.0,0.0,0.0,
1.614,554.39124,+,385104.1468,,,2,,385104.1468,0.0,2420.312102,0.0,0.0,0.0,5743.43981,5312.608137,5453.658498,
1.617,546.35394,+,708683.5453,LysoPC 20:3,LysoPC,8,,708683.5453,0.0,8615.192843,0.0,0.0,0.0,705257.4623,587223.505,706261.8467,
1.623,452.27658,-,316086.1661,LysoPE 16:0,LysoPE,7,,316086.1661,2301.77713,1415.240461,241333.1755,227363.639,241419.7864,77519.58804,62478.8539,75619.7037,
1.628,526.29114,-,21251.462,LysoPE 22:5,LysoPE,2,,7771.246205,209.0155521,0.0,18807.97798,21251.462,15139.36073,0.0,0.0,0.0,
1.64,876.33862,-,42175.21776,,,3,,25335.16377,957.3316759,0.0,42175.21776,26835.1797,25948.86574,0.0,0.0,0.0,
1.643,794.33582,-,54195.39887,,,4,,50690.42891,1842.627694,0.0,54195.39887,42294.77671,48807.48659,0.0,0.0,0.0,
1.644,896.33362,-,27601.60431,,,2,,23358.21428,854.6800475,0.0,22348.47082,27601.60431,19884.96263,0.0,0.0,0.0,
1.645,557.3186,-,32461.85827,,,3,,32461.85827,210.8429361,0.0,20342.15278,18804.58298,28830.51249,0.0,0.0,0.0,
1.646,696.35602,-,247634.1494,,,4,Adduct of existing peak,183857.7542,4240.164624,0.0,247634.1494,178401.7997,200908.7074,0.0,0.0,0.0,
1.647,778.35663,-,15163.75942,,,3,Adduct of existing peak,13802.35947,215.7392233,0.0,12430.41802,14156.7061,15163.75942,0.0,0.0,0.0,
1.648,636.34784,-,279393.1991,,,4,,159019.7878,4147.124526,0.0,164136.9045,279393.1991,156569.1153,0.0,0.0,0.0,
1.648,712.33392,-,278400.6246,,,4,,164596.447,5619.809628,0.0,278400.6246,239112.8404,154842.1835,0.0,0.0,0.0,
1.648,391.22443,-,40820.50531,,,3,,25545.14794,593.0402218,0.0,38962.90054,38983.66595,40820.50531,0.0,0.0,0.0,
1.648,1207.66394,-,40746.10196,,,4,,36652.93177,177.9528386,0.0,39348.1354,36994.0287,40746.10196,0.0,0.0,0.0,
1.648,592.30066,-,22142.91828,,,2,Adduct of existing peak,15342.42422,223.5207564,0.0,14506.50663,22142.91828,16637.80168,0.0,0.0,0.0,
1.649,554.34454,-,1.091399045E7,,,5,Adduct of existing peak,8177406.246,285765.7177,0.0,1.091399045E7,1.012635073E7,7582681.09,0.0,0.0,0.0,
1.649,480.30801,-,3037714.405,,,5,,2259958.406,85717.29533,0.0,2367941.14,3037714.405,2119637.186,0.0,0.0,0.0,
1.649,540.32898,-,371601.6939,,,4,Adduct of existing peak,238456.8821,7349.387307,0.0,371601.6939,290849.8007,265375.6071,0.0,0.0,0.0,
1.649,1049.67542,-,285653.3842,,,4,Adduct of existing peak,285653.3842,164.4938708,0.0,264628.8153,262927.6651,277963.3295,0.0,0.0,0.0,
1.649,495.2713,-,24085.03177,,,4,Adduct of existing peak,20249.89425,323.5831448,0.0,23405.60865,24085.03177,21595.81517,0.0,0.0,0.0,
1.65,530.30072,-,58735.6617,,,4,Adduct of existing peak,22765.16634,410.3905846,0.0,35200.93797,58735.6617,40673.45822,0.0,0.0,0.0,
1.65,1131.6748,-,52194.22617,,,4,Adduct of existing peak,46187.74807,168.6177333,0.0,48358.6395,52194.22617,47283.24473,0.0,0.0,0.0,
1.65,1213.67505,-,18021.02346,,,4,Dimer,16624.34308,168.4095568,0.0,15823.67775,18021.02346,17559.97374,0.0,0.0,0.0,
1.651,1289.66626,-,23614.11147,,,4,,19510.24188,164.916444,0.0,22105.13422,23520.34322,23614.11147,0.0,0.0,0.0,
1.652,495.34082,+,1.129705083E7,,,3,,1.129705083E7,0.0,280691.2474,0.0,0.0,0.0,1273142.579,1230006.298,8347466.321,
1.654,718.34821,-,33535.51493,,,4,Adduct of existing peak,23675.95921,696.5957516,0.0,33535.51493,28884.06411,30281.4715,0.0,0.0,0.0,
1.655,1075.69153,-,52922.45115,,,4,Adduct of existing peak,52845.13932,219.5119306,0.0,48988.19116,52369.74451,52922.45115,0.0,0.0,0.0,
1.662,660.31879,+,100071.6611,,,4,Adduct of existing peak,100071.6611,0.0,1714.450006,0.0,0.0,0.0,56110.09019,53935.83209,68361.81548,
1.662,436.28214,-,48446.64451,,,2,Adduct of existing peak,23728.4135,232.9887349,0.0,40405.08866,45135.91984,48446.64451,0.0,0.0,0.0,
1.667,676.29608,+,212585.3644,,,4,,139293.1467,0.0,4606.867444,0.0,0.0,0.0,149088.8666,131285.639,212585.3644,
1.667,600.31244,+,120111.0979,,,4,Adduct of existing peak,112092.871,0.0,4701.814367,0.0,0.0,0.0,120111.0979,94502.00328,104790.8363,
1.669,578.32886,+,754803.1444,,,4,Adduct of existing peak,754803.1444,0.0,12115.23167,0.0,0.0,0.0,524948.5478,647032.8831,708237.0929,
1.669,1095.64465,+,113811.4684,,,4,Adduct of existing peak,108456.4066,0.0,5183.126318,0.0,0.0,0.0,75613.43847,105731.9507,113811.4684,
1.67,518.32031,+,2425947.245,,,5,Adduct of existing peak,2425947.245,0.0,101844.7686,0.0,0.0,0.0,1634050.19,2225055.78,1871515.319,
1.67,526.29889,+,36135.79804,,,4,Adduct of existing peak,32081.82979,0.0,3565.382974,0.0,0.0,0.0,36135.79804,29543.6284,29821.2719,
1.671,496.33847,+,3.450411191E7,LysoPC 16:0,LysoPC,5,,3.450411191E7,0.0,1199682.566,0.0,0.0,0.0,3.263878805E7,3.185501613E7,3.38654488E7,
1.671,594.30634,+,928524.2031,,,5,,782673.3322,0.0,23791.55378,0.0,0.0,0.0,614724.8304,884959.7062,928524.2031,
1.671,599.43787,+,673962.2018,,,4,,673962.2018,0.0,1015.482844,0.0,0.0,0.0,499835.6819,521282.1886,572449.1136,
1.673,991.6698,+,427303.0482,,,4,Adduct of existing peak,427303.0482,0.0,764.1414158,0.0,0.0,0.0,390421.1566,369345.8738,374872.2639,
1.673,1039.66785,+,152331.3721,,,4,,152331.3721,0.0,1324.205545,0.0,0.0,0.0,120849.0856,130737.6454,130795.589,
1.673,709.41663,+,57878.44955,,,3,,11324.1513,0.0,1731.104438,0.0,0.0,0.0,57003.70016,50711.29719,57878.44955,
1.674,616.28784,+,211789.7394,,,4,Adduct of existing peak,143641.2619,0.0,4074.195822,0.0,0.0,0.0,164931.1118,156444.0116,211789.7394,
1.674,778.29388,+,27262.72715,,,2,,5765.923832,0.0,1686.444487,0.0,0.0,0.0,20852.05344,27262.72715,20807.18892,
1.675,1013.65143,+,905014.8798,,,5,Dimer,905014.8798,0.0,63014.39906,0.0,0.0,0.0,810192.6493,810631.1653,782948.0475,
1.675,478.32864,+,295902.4308,,,4,Adduct of existing peak,171929.9614,0.0,3988.735772,0.0,0.0,0.0,295902.4308,261460.6222,270294.2841,
1.677,580.36066,-,1605415.453,LysoPC 18:1,LysoPC,4,Redundant Identification,1331332.067,31599.59075,0.0,1250532.224,1255299.673,1605415.453,0.0,0.0,0.0,
1.677,459.24722,+,61482.44836,,,3,,29849.38525,0.0,1541.150668,0.0,0.0,0.0,61482.44836,56685.83686,50321.7143,
1.677,769.43628,+,51364.09284,,,3,Adduct of existing peak,18544.43596,0.0,1510.79006,0.0,0.0,0.0,51364.09284,38315.83393,24808.47271,
