Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Plasma_PS.raw (F1),PDH_Blank_Neg.raw (F2),PDH_Blank_Pos_171003103943.raw (F3),Plasma_Neg_1.raw (F4)+Plasma_Pos_1.raw (F7),Plasma_Neg_2.raw (F5)+Plasma_Pos_2.raw (F8),Plasma_Neg_3.raw (F6)+Plasma_Pos_3.raw (F9),
2.394,468.38892,+,450105.2668,,,2,450105.2668,0.0,96956.78555,123471.4698,99917.07258,91655.43759,
2.409,675.47748,+,38293.16646,,,3,26800.13957,0.0,12541.81256,32198.67762,38293.16646,37678.81323,
2.44,600.4668,+,467121.8524,,,2,467121.8524,0.0,140254.7883,367383.9611,339228.7096,310718.1507,
2.45,277.21625,-,377798.9482,,,3,245425.0072,11828.61286,0.0,261986.1042,217208.6883,377798.9482,
2.467,502.37314,+,474567.9277,,,5,474567.9277,0.0,131020.5359,209633.1352,255441.6138,152605.6102,
2.471,458.3468,+,247323.0227,,,4,247323.0227,0.0,36729.63369,25604.55885,55208.51284,31009.82604,
2.555,301.21634,-,58380.17837,,,4,50482.38962,964.5079047,0.0,53550.06149,58380.17837,54800.25551,
2.622,582.3761,-,3896348.775,LysoPC 18:0,LysoPC,4,3727680.786,86609.2126,0.0,3639575.75,3298616.629,3896348.775,
2.648,622.33752,+,315079.1656,,,2,285177.3776,0.0,6453.92424,217379.0269,315079.1656,220581.4612,
2.734,464.31302,+,20860.33948,,,4,17822.69439,0.0,1552.979502,20860.33948,17811.6287,19607.53234,
2.737,327.23193,-,187263.9512,,,4,141538.7987,4629.886242,0.0,186681.505,187263.9512,186471.9453,
2.75,524.58453,+,16849.98859,,,2,7252.958553,0.0,196.8952071,16849.98859,12004.1846,16525.75886,
2.764,650.43768,+,88295.27827,,,4,88295.27827,0.0,435.4071241,65027.9103,53938.05473,54062.0546,
2.767,277.21637,-,440161.9109,,,4,422454.1657,12148.76882,0.0,418816.9765,440161.9109,427129.2426,
2.771,508.33902,-,913935.5262,,,5,913935.5262,19096.31831,0.0,834514.3,855258.7373,839250.775,
2.771,664.37915,-,137685.7623,,,4,137685.7623,3383.887649,0.0,126418.7617,131078.9041,129881.4527,
2.771,740.3653,-,121266.7188,,,4,121266.7188,3115.009621,0.0,117922.7908,121161.3665,116079.6091,
2.771,419.25568,-,41674.44927,,,4,16086.80977,240.6902376,0.0,37281.48374,41674.44927,41293.93328,
2.771,904.37036,-,33899.80787,,,4,33899.80787,860.2216542,0.0,32651.40152,32514.05533,30064.40645,
2.771,1187.74084,-,20627.33961,,,4,18141.5465,169.5558479,0.0,18814.45971,20627.33961,19970.97152,
2.772,822.36792,-,56539.10494,,,4,55968.70409,1614.907211,0.0,52722.8933,56539.10494,54226.09429,
2.772,746.38184,-,34513.54325,,,4,34513.54325,972.3669574,0.0,31901.94011,31711.47874,31919.23308,
2.798,746.31665,+,22037.35713,,,3,22037.35713,0.0,292.0273863,21748.4599,20034.28218,12202.05875,
2.8,622.33777,+,446395.5451,,,4,446395.5451,0.0,9464.690361,383433.0989,299005.7631,332398.378,
2.804,704.32751,+,44806.46197,,,4,44806.46197,0.0,321.7855264,33301.59956,34886.12899,37167.73422,
