row ID,row m/z,row retention time,row comment,row number of detected peaks,Hap1_Blank.raw Peak status,Hap1_Blank.raw Peak m/z,Hap1_Blank.raw Peak RT,Hap1_Blank.raw Peak height,Hap1_Blank.raw Peak area,Hap1_Blank.raw Peak charge,Hap1_Blank.raw Peak FWHM,Hap1_Neg_3.raw Peak status,Hap1_Neg_3.raw Peak m/z,Hap1_Neg_3.raw Peak RT,Hap1_Neg_3.raw Peak height,Hap1_Neg_3.raw Peak area,Hap1_Neg_3.raw Peak charge,Hap1_Neg_3.raw Peak FWHM,Hap1_Neg_1.raw Peak status,Hap1_Neg_1.raw Peak m/z,Hap1_Neg_1.raw Peak RT,Hap1_Neg_1.raw Peak height,Hap1_Neg_1.raw Peak area,Hap1_Neg_1.raw Peak charge,Hap1_Neg_1.raw Peak FWHM,Hap1_Neg_2.raw Peak status,Hap1_Neg_2.raw Peak m/z,Hap1_Neg_2.raw Peak RT,Hap1_Neg_2.raw Peak height,Hap1_Neg_2.raw Peak area,Hap1_Neg_2.raw Peak charge,Hap1_Neg_2.raw Peak FWHM,
255,684.5865402322388,13.055166,,3,ESTIMATED,684.588562052002,13.168783,95526.78125,46688.80711018236,0,0.04317850507205634,DETECTED,684.5856323242188,13.028819,3.4341356E7,2.6738543102944896E8,1,0.11639603515818919,DETECTED,684.5857543945312,13.018172,3.1555248E7,2.6863164588723475E8,1,0.7118057181235553,DETECTED,684.5862121582031,13.00489,3.5622244E7,2.8793774608171016E8,1,0.12335958468562858,
256,1043.6027018229167,1.3068246333333333,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,1043.6025390625,1.3124705,3.382816E7,1.585513415193362E8,1,0.09883036250757438,DETECTED,1043.6026611328125,1.301343,3.4412728E7,1.5694901699492005E8,1,0.07542801969059165,DETECTED,1043.6029052734375,1.3066604,3.3022164E7,1.646486509689577E8,1,0.08484342113626098,
257,1401.9635823567708,15.826474333333332,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,1401.96484375,15.832485,3.3508574E7,2.4917101649814385E8,1,0.11598968972609569,DETECTED,1401.9619140625,15.828428,3.3657712E7,2.5884288807965654E8,1,0.10926982674486929,DETECTED,1401.9639892578125,15.81851,3.3920664E7,2.4898696116052002E8,1,0.10759574236828762,
258,365.2651824951172,6.77461215,,3,ESTIMATED,365.26715087890625,6.505716,750589.625,5217525.894161998,1,0.4072633591528634,DETECTED,365.2644958496094,6.86314,3.349699E7,1.3668351786506253E8,1,0.06532884605514155,DETECTED,365.2645568847656,6.8851752,3.3817784E7,1.5008643738648394E8,1,0.06340732967577356,DETECTED,365.2645263671875,6.8444174,3.5971784E7,1.452666041495877E8,1,0.06437476691169941,
259,802.5920104980469,9.693686699999999,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,802.5919189453125,9.6957416,3.3350626E7,2.4466969385524327E8,1,0.0847033857274706,DETECTED,802.5921936035156,9.7013204,3.0034604E7,2.272273705899296E8,1,0.08427020743971347,DETECTED,802.5919189453125,9.6839981,3.2901452E7,2.480041748891583E8,1,0.08678283057573921,
260,626.3415222167969,1.2084286666666666,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,626.3414916992188,1.2033704,3.3280008E7,2.4365168529639786E8,1,0.12385064645761656,DETECTED,626.341552734375,1.2247491,3.3233912E7,2.391018404562203E8,1,0.12048205167421555,DETECTED,626.3415222167969,1.1971665,3.696112E7,2.572957934714948E8,1,0.11845585594932051,
261,710.6150436618805,12.95620375,,2,ESTIMATED,710.612030116272,12.750859,4446.26416015625,4644.60238800996,0,0.0149150925165209,DETECTED,710.6217041015625,13.028819,3.3172462E7,2.3455270167038548E8,0,0.1226846724187105,DETECTED,710.6182861328125,13.040247,2.6722918E7,1.9338124364947215E8,1,0.12577317209364303,ESTIMATED,710.608154296875,13.00489,3.7958468E7,2.6479974862893957E8,0,0.1185466932612762,
262,834.5227864583334,7.848649599999999,,2,UNKNOWN,0,0,0,0,0,0,DETECTED,834.5240478515625,7.8505975,3.3105142E7,2.699869473564463E8,1,0.09439868641338123,ESTIMATED,834.5201416015625,7.8480576,3.000294E7,2.5878507341329592E8,0,0.1592410826845514,DETECTED,834.524169921875,7.8472937,3.0094014E7,2.8255495084068656E8,1,0.16375007429573074,
263,724.5232162566376,9.738166625,,3,ESTIMATED,724.5209656124878,9.6924149,227294.0625,250531.85045815844,0,0.041369080351005394,DETECTED,724.523681640625,9.751279,3.30453E7,1.6135600720277643E8,1,0.07233398795780488,DETECTED,724.524169921875,9.7693099,3.0333204E7,1.5664073653914586E8,1,0.07606590653179701,DETECTED,724.5240478515625,9.7396627,3.8148296E7,1.806875533664665E8,1,0.06754636502000722,
264,1552.1199951171875,9.820509666666666,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,1552.1199951171875,9.8292916,3.2985604E7,1.56589573207088E8,1,0.06858629117780701,DETECTED,1552.1197509765625,9.8142809,3.5999628E7,1.607529664430717E8,1,0.06926095515365205,DETECTED,1552.1202392578125,9.8179565,3.5701772E7,1.6213563910611424E8,1,0.0730137778888249,
265,620.5941772460938,13.118037000000001,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,620.5941772460938,13.129994,3.2825342E7,1.723406870519606E8,1,0.08441732027871396,DETECTED,620.5940551757812,13.117864,3.787942E7,2.033580227854345E8,1,0.08876416192492265,DETECTED,620.5942993164062,13.106253,3.567696E7,1.762142943162544E8,1,0.08047582104297213,
266,646.6101277669271,13.215084666666668,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,646.610107421875,13.231452,3.2606132E7,1.8193036735000598E8,1,0.08146568125224007,DETECTED,646.610107421875,13.206941,3.1873718E7,1.8837040698463044E8,1,0.08793575087949179,DETECTED,646.6101684570312,13.206861,3.2397092E7,1.808368399965275E8,1,0.08385011039980128,
267,873.5416768391927,8.716434033333334,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,873.5415649414062,8.7178715,3.2501488E7,1.1764053880234599E8,1,0.05837662876678884,DETECTED,873.5433349609375,8.7247816,2.7519192E7,1.1050327339240487E8,1,0.0670206154368227,DETECTED,873.5401306152344,8.706649,3.0077576E7,1.1811041514253837E8,1,0.06435078829347773,
268,750.5235595703125,8.4583004,,2,UNKNOWN,0,0,0,0,0,0,DETECTED,750.5232238769531,8.4593775,3.2240192E7,1.1504366280507764E8,1,0.05576016902584513,ESTIMATED,750.5238952636719,8.4667647,3.2609564E7,1.142752132809665E8,1,0.05276926223102585,DETECTED,750.5235595703125,8.448759,3.4151108E7,1.1621912769397242E8,1,0.048829700162349,
269,869.5244750976562,7.559243666666667,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,869.5187377929688,7.5572846,3.2165538E7,1.6321441752143446E8,1,0.0814785656798529,DETECTED,869.5264892578125,7.5669739,2.7732118E7,1.51952963274508E8,1,0.08268125071617938,DETECTED,869.5281982421875,7.5534725,3.4402836E7,1.79816225040047E8,1,0.08055807258309677,
