Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Hap1_Blank.raw,Hap1_Neg_3.raw,Hap1_Neg_1.raw,Hap1_Neg_2.raw,
11.671433,806.6012573242188,-,1.9593547489379104E7,,,4,Adduct of existing peak,0.0,1.925367644225018E7,1.8694723902831562E7,1.9593547489379104E7,
11.673385249999999,645.5404052734375,+,1.1149144179232337E8,,,4,Adduct of existing peak,5404598.533281076,1.1149144179232337E8,1.0709819589986269E8,1.0333840505057351E8,
11.673685999999998,690.5979614257812,+,4.0340485796150826E7,,,4,Adduct of existing peak,0.0,2.4984438247972585E7,4.0340485796150826E7,2.118937065169721E7,
11.673685999999998,743.5093383789062,+,1.2166580109214969E7,,,4,,0.0,1.2166580109214969E7,1.0661008178306993E7,8650824.505516231,
11.680993666666666,877.6815795898438,+,1.8829909392223164E7,,,4,Adduct of existing peak,0.0,1.6612940519358782E7,1.8829909392223164E7,1.8051028811024915E7,
11.681575500000001,730.5676879882812,-,1.2190588234114926E8,Plasmanyl-PE O-36:1,Plasmanyl-PE,4,,96267.57887028903,1.0231840198920082E8,1.2190588234114926E8,1.162302401382681E8,
11.686803666666668,1030.7344970703125,-,4.764979334431615E7,,,4,Adduct of existing peak,0.0,3.896160087751626E7,4.764979334431615E7,3.9608723500579916E7,
11.686803666666668,970.7138671875,-,3.938389187246292E7,,,4,Adduct of existing peak,0.0,3.3437268724893823E7,3.938389187246292E7,3.3246988969933424E7,
11.686803666666668,1112.7417602539062,-,8990805.402874678,,,4,,0.0,7624432.154313711,8990805.402874678,7967579.737474957,
11.686803666666668,971.7171325683594,-,2.374407192052209E7,,,4,Adduct of existing peak,0.0,1.9832507708602007E7,2.374407192052209E7,2.101003903506503E7,
11.6869735,413.26300048828125,+,7.878081014228055E7,,,4,,6.683748315036013E7,6.748377406190251E7,5.4773475361501455E7,7.878081014228055E7,
11.690036,994.714599609375,+,2.7724003984843865E7,,,4,Adduct of existing peak,11805.319921610533,2.6640395434749383E7,2.7724003984843865E7,2.626033515802637E7,
11.690231,633.4805297851562,+,1.083284576772429E8,,,4,Adduct of existing peak,18052.221662622,9.76582999342869E7,1.0131954116849382E8,1.083284576772429E8,
11.6946195,820.6372680664062,-,9.291271118634368E7,,,4,Adduct of existing peak,7367906.862026243,3.3005262536664836E7,9.291271118634368E7,3.426401108260548E7,
11.698499666666665,670.5506896972656,-,1.3969581134844843E7,,,4,Adduct of existing peak,0.0,1.2236178102516394E7,1.3727303670778016E7,1.3969581134844843E7,
11.702517999999998,808.6148376464844,+,3.013037168247664E7,,,4,,0.0,3.013037168247664E7,3.0089684541975148E7,2.853422453605317E7,
11.705934333333333,754.5714721679688,-,1.1055027675342076E8,PE O-38:3,Plasmanyl-PE,4,,0.0,1.0346710425933121E8,1.1055027675342076E8,1.0295854774729264E8,
