Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Liver_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Liver_Neg_1.raw (F4),Liver_Neg_2.raw (F5),Liver_Neg_3.raw (F6),
1.183,564.23877,+,176339.2546,,,4,176339.2546,0.0,123.9748962,91236.6959,102016.247,92280.51136,
1.187,682.26599,-,70716.00572,,,4,63863.74295,181.2048789,0.0,69206.29064,70716.00572,68171.78804,
1.189,503.1861,+,86060.52732,,,3,33621.54858,0.0,120.6903492,60732.61818,86060.52732,70845.20493,
1.19,523.30121,+,693801.1548,,,2,27171.70687,0.0,181.6599655,693714.5588,693801.1548,682684.2645,
1.195,524.27673,-,8149676.452,LysoPE 22:6,LysoPE,7,8149676.452,171.014975,454.6699002,5070600.458,5298457.427,4689940.0,
1.195,429.21652,+,25394.71597,,,3,24363.22619,0.0,144.5841149,22449.7135,25394.71597,23512.09961,
1.196,494.323,+,659361.5939,LysoPC 16:1,LysoPC,4,659361.5939,0.0,3251.616102,471938.501,598323.7127,564862.7335,
1.202,610.37012,+,180616.5058,,,8,180616.5058,9911.377612,22026.70829,101480.4187,120438.6428,126671.3867,
1.205,706.35626,-,91093.70705,,,3,53971.50577,129.0757717,0.0,79447.90031,91093.70705,76883.94671,
1.211,568.33826,+,1.040707679E7,LysoPC 22:6,LysoPC,8,1.040707679E7,0.0,4286.205707,8141257.65,9649254.796,8412920.253,
1.212,441.25146,-,60217.36077,,,3,38001.59982,889.7790811,0.0,56333.1023,57260.95854,60217.36077,
1.225,636.38574,+,107814.3672,,,6,107814.3672,164.1841524,15336.77075,72910.33214,91030.09502,84258.81982,
1.227,455.33487,+,45041.1084,,,3,35445.48098,0.0,3711.131153,31287.06405,38146.81392,45041.1084,
1.232,748.35223,+,151767.8638,,,2,101406.3293,0.0,172.2561314,131575.3912,151767.8638,82334.95908,
1.234,500.27704,-,6639425.388,LysoPE 20:4,LysoPE,7,6639425.388,178.2109478,427.2447798,4031538.525,3922767.819,4076069.363,
1.234,479.18604,+,51128.45701,,,3,18919.97707,0.0,112.8693394,36186.97087,51128.45701,50940.26725,
1.235,658.26685,-,56960.31907,,,4,51973.97381,190.5267295,0.0,56960.31907,47716.33999,45590.38269,
1.236,509.28751,-,69006.77978,LysoPG 18:1,LysoPG,4,62642.3887,166.2075099,0.0,69006.77978,66835.87385,59196.88364,
1.238,669.32404,-,26884.2484,,,3,15139.97199,415.4466352,0.0,20916.02406,16817.91135,26884.2484,
1.242,478.2916,+,1990999.975,LysoPE 18:2,LysoPE,6,1990999.975,150.4930869,12082.50965,1056373.022,826290.927,991900.7892,
1.243,809.34753,+,181327.8376,,,4,181327.8376,0.0,191.2587916,92863.41019,172246.7413,151448.5245,
1.245,594.33868,+,67227.6257,,,4,67227.6257,176.5978237,118.8404453,31803.26649,34689.40612,35324.77212,
1.246,789.37878,+,485530.086,,,3,393997.9893,0.0,147.3095766,485530.086,457180.3181,373337.2101,
1.247,544.33838,+,1.024241682E7,LysoPC 20:4,LysoPC,8,1.024241682E7,0.0,805.7221289,7722794.095,9224917.104,8685702.05,
1.247,483.2482,+,33191.47462,,,3,24463.23392,0.0,159.7882069,23970.84138,33191.47462,27732.24971,
1.248,724.37866,+,36711.42386,,,2,2782.809934,0.0,110.8597743,3030.389596,16615.1218,36711.42386,
1.248,599.35791,-,30391.15993,,,4,18819.1465,308.6870439,0.0,28178.43675,29906.58788,30391.15993,
1.25,520.33862,+,2.455978875E7,LysoPC 18:2,LysoPC,9,2.455978875E7,0.0,2635.991818,1.852327385E7,1.76366452E7,1.621098767E7,
1.25,660.48859,+,36350.85269,,,3,35079.65527,0.0,465.2928237,29234.83292,36350.85269,34660.69996,
1.254,618.30627,+,514801.4532,,,4,514801.4532,0.0,354.620855,343902.8437,426596.8926,359980.3366,
1.254,1061.65173,+,348143.9206,,,4,348143.9206,0.0,165.9169818,328894.0964,256889.3631,282517.3655,
1.255,623.43787,+,86886.25635,,,4,79518.96021,0.0,102.6827854,86886.25635,58282.77924,74571.58063,
1.258,818.44489,-,36346.30411,,,4,27997.10973,211.7728929,0.0,36346.30411,33973.18878,35436.50694,
1.261,736.33502,-,121367.7451,,,4,112500.899,209.506267,0.0,121367.7451,117923.3917,117341.8464,
1.263,434.23572,-,13182.85524,,,2,5723.352178,142.2179424,0.0,13022.21355,12785.61076,13182.85524,
