Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Rep1.raw (F1),Hap1_Neg_1.raw (F2),Hap1_Pos_1.raw (F3),Hap1_Neg_3.raw (F4),Hap1_Pos_3.raw (F5),Hap1_Neg_2.raw (F6),Hap1_Pos_2.raw (F7),
1.684,596.36682,+,3499963.881,,,4,,3499963.881,0.0,2101437.025,0.0,2796493.416,0.0,2900083.365,
1.686,602.21515,-,359939.7036,,,2,,43503.19967,9537.243007,0.0,359939.7036,0.0,267693.492,0.0,
1.693,654.37299,-,595479.272,,,4,Adduct of existing peak,595479.272,359762.3522,0.0,355533.1146,0.0,342986.8736,0.0,
1.697,604.3576,-,2461200.31,LysoPC 20:3,LysoPC,4,,1591934.041,1134325.407,61649.66071,2461200.31,214770.496,2452018.997,255299.3254,
1.697,452.27478,-,2452599.113,LysoPE 16:0,LysoPE,3,,2314487.703,2452599.113,0.0,2032457.261,0.0,1997273.126,0.0,
1.699,502.29037,-,5.448452784E7,LysoPE 20:3,LysoPE,9,,5.448452784E7,8323347.722,2.37883878E7,2.178992439E7,2.31296081E7,2.107356713E7,2.353299756E7,
1.702,305.24625,-,899333.4508,,,4,In-source fragment,899333.4508,638456.1168,0.0,556486.7615,0.0,442524.7173,0.0,
1.703,1003.56934,-,849743.2992,,,2,Adduct of existing peak,849743.2992,637195.1088,0.0,576725.444,0.0,576296.0264,0.0,
1.705,363.28653,+,4641000.446,,,4,Adduct of existing peak,4641000.446,0.0,3971536.007,0.0,3931437.146,0.0,4025626.37,
1.708,1047.63123,+,816947.8708,,,4,Adduct of existing peak,816947.8708,0.0,379614.4608,0.0,562748.9952,0.0,572091.5779,
1.71,518.31799,+,2746482.368,,,2,Adduct of existing peak,2746482.368,0.0,568656.1592,0.0,2083210.355,0.0,476812.6563,
1.713,933.58777,+,652500.7396,,,7,Adduct of existing peak,652500.7396,232493.5188,310396.0415,228334.147,291582.3808,241199.6082,312871.6318,
1.715,979.57233,-,2157140.246,,,3,Adduct of existing peak,2157140.246,785974.6019,0.0,1936653.432,0.0,834178.7881,0.0,
1.715,1089.67786,+,305616.7215,,,2,Adduct of existing peak,305616.7215,0.0,253100.193,0.0,228544.875,0.0,222447.5481,
1.717,554.34186,-,7473477.483,,,2,Adduct of existing peak,7473477.483,5602807.517,0.0,5875220.208,0.0,6007715.688,0.0,
1.722,1039.66162,+,909512.7697,,,4,Adduct of existing peak,583891.7988,0.0,416187.2519,0.0,870724.1345,0.0,909512.7697,
1.724,983.6026,+,5296748.04,,,6,Adduct of existing peak,5296748.04,1355073.401,2440484.077,2061217.115,2468787.331,1397304.771,2458938.842,
1.728,1075.68811,-,408300.4457,,,4,Adduct of existing peak,408300.4457,256707.3995,0.0,292515.6761,0.0,277612.0002,0.0,
1.729,496.33578,+,4.718432282E7,LysoPC 16:0,LysoPC,4,,2.893025467E7,0.0,3.257107224E7,0.0,4.718432282E7,0.0,3.071711279E7,
1.729,1033.61804,+,1905255.601,,,8,,1905255.601,715359.0249,816948.8664,754038.984,813576.562,442617.175,809751.3711,
1.731,973.61969,-,2872651.029,,,7,Adduct of existing peak,2872651.029,906539.9732,925066.3278,1156609.14,972661.8761,1114061.263,940051.101,
1.731,1023.63489,-,2843099.687,,,4,Adduct of existing peak,2843099.687,1026193.017,957484.634,1159296.422,941334.0719,1142803.092,987464.2481,
1.734,955.57251,-,1257187.332,,,3,Adduct of existing peak,1257187.332,1153867.98,0.0,131953.511,0.0,109505.0033,0.0,
1.734,1502.93042,-,101877.1942,,,4,Adduct of existing peak,101877.1942,82153.95699,0.0,92392.84356,0.0,98032.73507,0.0,
1.736,1117.71167,+,398527.6804,,,4,,398527.6804,0.0,255336.2829,0.0,217477.8656,0.0,269948.9136,
1.738,1017.6806,+,8621120.23,,,4,,8621120.23,0.0,4938637.455,0.0,4065233.287,0.0,5266171.543,
1.738,1452.9176,-,77167.85133,,,2,,77167.85133,54605.66345,0.0,48693.12762,0.0,58609.42058,0.0,
1.741,1023.63232,+,1623322.963,,,3,Adduct of existing peak,1623322.963,0.0,1508140.635,0.0,1303712.446,0.0,1495765.985,
1.746,518.25024,+,654414.4446,,,3,,516036.5357,0.0,654414.4446,0.0,621130.0107,0.0,644964.392,
1.747,478.29041,-,1.19852799E8,LysoPE 18:1,LysoPE,7,,1.19852799E8,5.787386347E7,5.424501091E7,5.542017248E7,5.168773827E7,5.23650415E7,5.278077958E7,
1.748,281.24646,-,3011553.736,,,2,In-source fragment,3011553.736,2310928.35,0.0,2122468.951,0.0,2073751.369,0.0,
1.749,339.28677,+,2.047523829E7,,,4,,2.047523829E7,0.0,1.828755658E7,0.0,1.75933813E7,0.0,1.847938092E7,
1.75,959.60187,+,9149863.214,,,7,,9149863.214,2367957.355,5472928.675,3479408.464,4353464.87,3369805.12,4275159.289,
1.75,1065.67773,+,2769387.768,,,2,Adduct of existing peak,2769387.768,0.0,1848062.845,0.0,2074669.111,0.0,2071991.038,
1.752,997.61865,-,6545888.026,,,6,Adduct of existing peak,6545888.026,2423585.667,361789.3813,2620311.466,2069130.408,2484710.318,2255220.601,
1.752,1067.69568,+,2660052.348,,,2,Adduct of existing peak,2660052.348,0.0,1546527.277,0.0,1228087.789,0.0,1677959.382,
1.753,1001.64142,-,383298.5275,,,2,Adduct of existing peak,383298.5275,280868.6894,0.0,294416.7852,0.0,315305.2211,0.0,
1.755,1520.97961,-,115182.6601,,,3,,115182.6601,81506.23965,0.0,72833.13126,0.0,72543.3313,0.0,
1.756,1001.64893,+,2700558.609,,,2,Adduct of existing peak,2700558.609,0.0,2072689.757,0.0,2099176.575,0.0,2003628.739,
1.759,580.35791,-,2.619146067E7,LysoPC 18:1,LysoPC,6,Redundant Identification,2.619146067E7,1.909459873E7,0.0,2.056857647E7,0.0,2.080373103E7,0.0,
1.76,1005.5882,-,8315981.217,,,5,,8315981.217,544468.4046,795988.913,3046631.618,831517.5787,2900731.754,4403095.277,
1.761,1009.61682,+,7956411.197,,,5,,7956411.197,2600365.787,3822786.301,3116777.887,3594012.637,2769273.51,4175142.203,
1.765,1528.94958,-,117692.4265,,,4,,117692.4265,87930.31589,0.0,104712.7167,0.0,101427.1837,0.0,
1.767,506.3212,-,4130244.27,,,4,In-source fragment,4130244.27,2237793.958,0.0,3082264.71,0.0,2671863.133,0.0,
1.77,522.35187,+,1.501066086E8,LysoPC 18:1,LysoPC,10,,1.501066086E8,0.0,1.189117166E8,0.0,1.143516805E8,0.0,1.225362359E8,
1.77,955.67981,+,569238.0118,,,3,,569238.0118,0.0,375812.4934,0.0,268060.5365,0.0,434996.743,
1.771,1101.70313,-,686647.1081,,,3,Adduct of existing peak,686647.1081,388984.2596,0.0,355840.1531,0.0,324728.8349,0.0,
1.772,1043.69604,+,1.523475561E7,,,4,Dimer,1.523475561E7,0.0,8136642.332,0.0,6918377.294,0.0,9059908.015,
1.774,620.31879,+,717625.3746,,,4,,717625.3746,0.0,630346.3572,0.0,605166.6152,0.0,622338.7823,
1.782,560.30737,+,2708657.234,,,3,Adduct of existing peak,2708657.234,0.0,2311165.551,0.0,2130446.405,0.0,1336947.525,
1.782,580.40332,+,1956654.942,PC 21:0,PC,4,RT out of class range,1766525.045,0.0,1947811.956,0.0,1567171.913,0.0,1956654.942,
1.79,400.33902,+,2215783.965,AC 16:0,AC,4,,2215783.965,0.0,1967120.682,0.0,1902473.72,0.0,2134592.476,
1.791,1093.70984,+,2408545.996,,,3,,2408545.996,0.0,1232288.142,0.0,877373.1921,0.0,1445041.655,
1.792,1051.66516,+,5262472.261,,,7,,5262472.261,1898710.073,1773380.899,1941517.131,1730103.493,1908808.852,1759806.04,
1.798,466.29001,-,1050103.723,LysoPE 17:0,LysoPE,6,,1050103.723,604044.5219,438293.9569,484474.6968,413795.0782,469779.0412,456826.9468,
1.807,1031.6969,+,208840.4144,,,2,Adduct of existing peak,208840.4144,0.0,103567.9131,0.0,75881.42662,0.0,124861.8677,
1.812,1089.61414,+,174613.2009,,,4,Adduct of existing peak,166112.1688,0.0,122530.8035,0.0,174613.2009,0.0,133813.3919,
1.813,331.26184,-,1421392.667,,,4,In-source fragment,1421392.667,339933.4219,0.0,970035.1187,0.0,941184.5116,0.0,
1.816,1099.66565,-,1032034.009,,,7,Adduct of existing peak,1032034.009,264127.9663,234827.1105,207922.4088,217168.0289,452351.551,224438.7607,
1.816,1073.64587,+,920486.1127,,,4,Adduct of existing peak,860182.7206,0.0,712852.8399,0.0,920486.1127,0.0,576801.4193,
1.818,528.30585,-,1.305748372E8,LysoPE 22:4,LysoPE,9,,1.305748372E8,5.060151347E7,5.482858555E7,5.36866408E7,5.765026155E7,4.823881114E7,5.525114716E7,
1.82,389.30203,+,8385301.342,,,6,,8385301.342,0.0,7137211.405,0.0,7545579.316,0.0,7494886.013,
1.822,628.23022,-,743698.5141,,,3,,80254.10329,24789.14869,0.0,743698.5141,0.0,696298.0821,0.0,
