Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Rep1.raw (F1),Hap1_Neg_1.raw (F2)+Hap1_Pos_1.raw (F3),Hap1_Neg_3.raw (F4)+Hap1_Pos_3.raw (F5),Hap1_Neg_2.raw (F6),
2.505,608.38855,+,2016060.705,,,5,2016060.705,484881.1416,878416.4718,572327.1061,
2.505,648.41986,+,1174750.968,,,4,1174750.968,584079.5449,646501.1747,552860.1607,
2.509,582.35211,+,196218.567,,,2,196218.567,80993.77383,84145.2965,84336.38676,
2.509,564.3269,-,166731.1791,,,2,166731.1791,96670.13772,70930.36308,59002.49033,
2.55,615.29913,-,107898.5131,,,2,63429.02286,107898.5131,59136.56591,95273.85454,
2.559,630.24603,-,313642.6641,,,2,32761.95351,4088.021873,313642.6641,273394.6152,
2.567,333.27734,-,690415.2803,,,4,690415.2803,553974.8803,511443.3747,481910.5826,
2.578,530.32141,-,6.995716439E7,,,7,6.995716439E7,3.23546693E7,3.307888325E7,3.249467531E7,
2.578,1083.63147,-,697157.1886,,,7,697157.1886,305286.5949,279189.4032,272218.5463,
2.579,616.17285,+,649941.1663,,,3,540100.3843,497143.4065,649941.1663,502152.7253,
2.581,668.25934,+,387298.6648,,,4,387298.6648,306135.3155,235148.2803,291226.7813,
2.583,1063.66541,+,2588981.657,,,7,2588981.657,1106108.752,1230648.987,1175833.602,
2.587,391.31747,+,4460141.843,,,4,4455939.888,4396835.274,4460141.843,3809890.819,
2.59,590.38947,+,281013.254,,,4,281013.254,247485.1208,251971.5787,248058.806,
2.606,436.35214,+,1295095.356,,,4,1295095.356,1054033.531,996934.797,1122354.456,
2.608,574.38312,+,6728177.998,,,4,6728177.998,4928658.465,4793414.69,4970634.077,
2.62,558.35242,-,104302.9407,,,3,103503.773,104302.9407,73626.31629,81314.37244,
2.621,524.36786,+,1804607.403,LysoPC 18:0,LysoPC,4,1804607.403,1383630.445,1363434.618,1422138.254,
