Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4),Yeast_Neg_2.raw (F5),Yeast_Neg_3.raw (F6),Yeast_Pos_1.raw (F7),Yeast_Pos_2.raw (F8),Yeast_Pos_3.raw (F9),
0.922,867.36993,+,331974.1585,,,4,Adduct of existing peak,331974.1585,0.0,975.2895009,0.0,0.0,0.0,148684.5773,186340.4177,144807.5645,
0.923,449.17255,-,280496.696,,,4,Adduct of existing peak,205308.601,2404.179497,0.0,280496.696,173007.4536,50078.50332,0.0,0.0,0.0,
0.925,432.17853,+,128902.9238,,,3,,44171.80807,0.0,35841.23562,0.0,0.0,0.0,128902.9238,85307.95259,99699.17864,
0.927,645.11786,-,117733.144,,,4,,89245.16488,4344.44603,0.0,100459.5079,116799.1325,117733.144,0.0,0.0,0.0,
0.928,559.23029,+,34300.93668,,,2,,8054.357972,0.0,593.7712626,0.0,0.0,0.0,19541.20469,34300.93668,13064.32814,
0.93,474.22012,-,358740.7269,,,2,Adduct of existing peak,318370.4506,3484.303003,0.0,358740.7269,328571.018,300526.8925,0.0,0.0,0.0,
0.932,824.42444,-,139076.5327,,,4,Adduct of existing peak,139076.5327,2774.717621,0.0,106910.8471,111113.3885,64860.77158,0.0,0.0,0.0,
0.934,561.31653,+,206407.1114,,,4,,206407.1114,0.0,4146.166398,0.0,0.0,0.0,64845.98226,54809.0963,47246.87398,
0.934,600.2572,+,29089.74643,,,2,,19419.43782,0.0,702.5662537,0.0,0.0,0.0,15213.27177,29089.74643,19564.85868,
0.939,537.27124,+,97970.32893,,,3,Adduct of existing peak,8782.115413,0.0,647.4219019,0.0,0.0,0.0,63875.48508,97970.32893,73122.99845,
0.939,565.4541,+,51363.09403,,,3,,36015.99395,0.0,486.5826609,0.0,0.0,0.0,49510.44095,49270.70401,51363.09403,
0.941,686.41949,-,399414.4264,,,5,,399414.4264,28282.45951,0.0,354967.3373,396777.7525,365295.7003,0.0,0.0,0.0,
0.942,513.17902,+,413006.5407,,,6,,413006.5407,0.0,3116.460492,0.0,0.0,0.0,325453.261,394408.254,318667.1271,
0.942,513.12036,-,83986.29687,,,2,Adduct of existing peak,37864.54886,3787.638541,0.0,83986.29687,43600.73449,35387.26166,0.0,0.0,0.0,
0.943,846.44098,+,2800319.281,,,4,Dimer,2800319.281,0.0,623.9968577,0.0,0.0,0.0,389392.5396,513414.4164,515574.2813,
0.943,473.21646,-,1271598.906,,,2,Adduct of existing peak,1173365.599,3397.263107,0.0,1271598.906,1208411.308,838015.7591,0.0,0.0,0.0,
0.943,497.19989,+,30807.25295,,,2,Adduct of existing peak,14873.87207,0.0,599.1411149,0.0,0.0,0.0,29750.57293,30807.25295,13968.83517,
0.943,895.45441,+,30655.52629,,,2,,12844.07234,0.0,929.3941537,0.0,0.0,0.0,20577.68604,20839.24189,30655.52629,
0.944,460.26828,+,6711672.479,,,4,,6711672.479,0.0,805.8450718,0.0,0.0,0.0,278190.8539,359583.0079,376342.2866,
0.944,523.23242,+,359237.3534,,,4,Adduct of existing peak,359237.3534,0.0,446.224914,0.0,0.0,0.0,122760.8037,107864.2948,104543.8136,
0.946,311.16782,-,7934680.737,,,5,,7934680.737,265671.9641,0.0,7171537.689,7652732.939,7117918.057,0.0,0.0,0.0,
0.946,432.23709,+,1349230.229,,,4,Adduct of existing peak,1349230.229,0.0,489.3218599,0.0,0.0,0.0,213967.0027,267861.9155,203628.7333,
