Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4)+Yeast_Pos_1.raw (F7),Yeast_Neg_2.raw (F5)+Yeast_Pos_2.raw (F8),Yeast_Neg_3.raw (F6)+Yeast_Pos_3.raw (F9),
0.983,514.31567,+,136303.4768,,,4,136303.4768,0.0,767.7731771,77547.90723,82699.37544,89515.86126,
0.984,828.04645,+,99284.19989,,,3,10313.80632,0.0,912.8825336,99284.19989,23522.58441,34917.41671,
0.986,583.23029,+,40897.31486,,,2,7147.202927,0.0,483.3344568,40897.31486,24286.34915,24754.26017,
0.987,426.31741,+,80048.52612,,,3,75444.73657,0.0,558.588412,71243.04131,80048.52612,74473.01933,
0.992,437.22177,-,66055.97037,,,4,66055.97037,3949.63257,0.0,64001.71503,64218.1334,58830.0219,
0.995,407.21921,-,342591.6796,,,4,342591.6796,3002.597364,0.0,308861.2537,330509.5024,308286.8245,
1.037,325.18332,-,3391708.808,,,7,1287556.911,117567.4946,0.0,3222412.872,3391708.808,1209183.549,
1.044,683.31097,+,319422.8845,,,4,319422.8845,0.0,83.30462044,81104.25065,107593.9852,103252.8265,
1.047,269.10672,+,431307.7238,,,4,431307.7238,279.7374728,129.7891815,57222.34601,53305.90423,54023.50849,
1.049,571.28784,-,612600.1915,LysoPI 16:0,LysoPI,5,592527.4654,2017.012129,116.4714148,612600.1915,576699.5234,507888.1283,
1.049,498.28195,+,524244.3762,,,7,524244.3762,125.5759605,151.8585925,181637.1942,179036.991,166250.5662,
1.06,468.3082,+,532704.3393,LysoPC 14:0,LysoPC,11,532704.3393,0.0,10353.99454,361231.9073,378263.0096,352031.0583,
1.06,313.21643,-,66134.87533,,,3,63581.29509,84.32968393,0.0,65291.30396,66134.87533,56796.59255,
1.062,599.3089,-,47894.19004,,,2,47894.19004,88.94540956,0.0,47047.37316,26706.72858,23548.56513,
1.069,522.37573,+,32207.80412,,,4,32207.80412,0.0,216.1740628,23830.01232,24716.74371,25478.81388,
1.076,424.24597,-,20571.38334,LysoPE 14:0,LysoPE,3,20571.38334,114.8781811,0.0,18457.6749,18317.87359,17204.26982,
1.078,562.24438,+,54093.23503,,,3,54093.23503,0.0,131.8750467,28037.77465,21202.9013,23508.46669,
1.079,728.38367,+,51430.03666,,,2,24780.37356,0.0,241.2291402,23870.14336,23683.66773,51430.03666,
1.08,359.22235,-,13718.48699,,,2,9288.188369,173.417064,0.0,13718.48699,12950.16287,10361.14608,
1.085,488.22531,+,28550.21321,,,3,28550.21321,0.0,1865.467997,26536.10193,22100.33008,20826.59784,
